"ID","Call ID","着信日時","切断日時","通話秒数","着信先番号","発信元番号","シナリオID","シナリオ名","パートナーID","パートナー名","アカウントID","アカウント名","完了フラグ","★最初のガイダンス音声","”1or2”新規OR既存","”1-2”折り返しOR”SMS”","【000：着信通知】","""1-6""折り返し予約：電話番号入力","""1-7""折り返し予約：電話番号通知","""1-8""折返し時間帯選択","""1-9""：折返し時間帯通知","”1-10”：受付完了案内","【999：エラーガイダンス】","""2-1""電話番号入力","""2-2""SMS送信","”2-3”：受付完了案内","3いきなり終了"
"900040","S000DBBC8","2026-06-02 20:05:02","2026-06-02 20:06:48","106","03-0000-0000","080-4244-6060","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200040&result=OK:result=OK","09046815296","200:customer_id=200040&result=OK:result=OK","15:00～18:00","200:customer_id=200040&result=OK:result=OK","1","","","","",""
"900035","S000DBBC3","2026-06-02 20:27:20","2026-06-02 20:28:23","63","03-0000-0000","070-5255-5745","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200035&result=OK:result=OK","08069757139","200:customer_id=200035&result=OK:result=OK","10:00～12:00","200:customer_id=200035&result=OK:result=OK","1","","","","",""
"900024","S000DBBB8","2026-06-02 20:35:48","2026-06-02 20:37:02","74","03-0000-0000","0120-000-102","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200024&result=OK:result=OK","07063845943","200:customer_id=200024&result=OK:result=OK","12:00～15:00","200:customer_id=200024&result=OK:result=OK","1","","","","",""
"900028","S000DBBBC","2026-06-02 20:39:52","2026-06-02 20:41:42","110","03-0000-0000","090-6800-9447","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200028&result=OK:result=OK","08082283667","200:customer_id=200028&result=OK:result=OK","12:00～15:00","200:customer_id=200028&result=OK:result=OK","1","","","","",""
"900036","S000DBBC4","2026-06-02 21:07:20","2026-06-02 21:07:28","8","03-0000-0000","080-6472-8922","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","","","","","","","","","","","","",""
"900033","S000DBBC1","2026-06-02 21:43:43","2026-06-02 21:45:18","95","03-0000-0000","0120-000-102","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200033&result=OK:result=OK","07012502728","200:customer_id=200033&result=OK:result=OK","10:00～12:00","200:customer_id=200033&result=OK:result=OK","1","","","","",""
"900032","S000DBBC0","2026-06-02 22:49:35","2026-06-02 22:50:19","44","03-0000-0000","0120-000-103","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","既存","""1-2-1""折り返し予約受付","","","","","","","","","","",""
"900037","S000DBBC5","2026-06-02 23:28:28","2026-06-02 23:28:54","26","03-0000-0000","0120-000-103","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","既存","","","","","","","","","","","",""
"900029","S000DBBBD","2026-06-02 23:45:14","2026-06-02 23:45:35","21","03-0000-0000","080-1977-7837","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","","","","","","","","","","","","1"
"900038","S000DBBC6","2026-06-03 00:05:04","2026-06-03 00:05:19","15","03-0000-0000","080-1302-7421","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","新規","","","","","","","","","","","",""
"900030","S000DBBBE","2026-06-03 00:23:27","2026-06-03 00:25:13","106","03-0000-0000","090-8887-9190","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200030&result=OK:result=OK","08027206121","200:customer_id=200030&result=OK:result=OK","15:00～18:00","200:customer_id=200030&result=OK:result=OK","1","","","","",""
"900023","S000DBBB7","2026-06-03 05:16:42","2026-06-03 05:16:55","13","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","","","","","","","","","","","","",""
"900031","S000DBBBF","2026-06-03 06:00:26","2026-06-03 06:00:30","4","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900026","S000DBBBA","2026-06-03 07:21:41","2026-06-03 07:22:47","66","03-0000-0000","070-2809-1010","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200026&result=OK:result=OK","07071738747","200:customer_id=200026&result=OK:result=OK","時間指定無し","200:customer_id=200026&result=OK:result=OK","1","","","","",""
"900025","S000DBBB9","2026-06-03 07:40:39","2026-06-03 07:40:46","7","03-0000-0000","090-1814-4628","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900027","S000DBBBB","2026-06-03 07:52:41","2026-06-03 07:54:13","92","03-0000-0000","080-2842-4806","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200027&result=OK:result=OK","08013897728","200:customer_id=200027&result=OK:result=OK","12:00～15:00","200:customer_id=200027&result=OK:result=OK","1","","","","",""
"900041","S000DBBC9","2026-06-03 08:02:25","2026-06-03 08:03:35","70","03-0000-0000","0800-000-201","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200041&result=OK:result=OK","09088611580","200:customer_id=200041&result=OK:result=OK","12:00～15:00","200:customer_id=200041&result=OK:result=OK","1","","","","",""
"900034","S000DBBC2","2026-06-03 08:53:20","2026-06-03 08:53:24","4","03-0000-0000","080-6221-7632","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900063","S000DBBDF","2026-06-03 19:14:44","2026-06-03 19:14:53","9","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","","","","","","","","","","","","",""
"900065","S000DBBE1","2026-06-03 19:56:06","2026-06-03 19:56:25","19","03-0000-0000","070-5502-6923","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","","","","","","","","","","","","",""
"900061","S000DBBDD","2026-06-03 19:58:32","2026-06-03 19:59:39","67","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200061&result=OK:result=OK","07070101445","200:customer_id=200061&result=OK:result=OK","12:00～15:00","200:customer_id=200061&result=OK:result=OK","1","","","","",""
"900068","S000DBBE4","2026-06-03 20:01:23","2026-06-03 20:01:44","21","03-0000-0000","080-9826-7335","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","既存","","","","","","","","","","","",""
"900048","S000DBBD0","2026-06-03 20:07:46","2026-06-03 20:08:47","61","03-0000-0000","070-6150-9465","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200048&result=OK:result=OK","09087423177","200:customer_id=200048&result=OK:result=OK","15:00～18:00","200:customer_id=200048&result=OK:result=OK","1","","","","",""
"900049","S000DBBD1","2026-06-03 20:18:33","2026-06-03 20:20:23","110","03-0000-0000","070-8884-5523","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200049&result=OK:result=OK","08057136339","200:customer_id=200049&result=OK:result=OK","10:00～12:00","200:customer_id=200049&result=OK:result=OK","1","","","","",""
"900053","S000DBBD5","2026-06-03 20:19:40","2026-06-03 20:19:44","4","03-0000-0000","090-6649-2369","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900050","S000DBBD2","2026-06-03 20:50:44","2026-06-03 20:52:06","82","03-0000-0000","070-2383-2132","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200050&result=OK:result=OK","08081337894","200:customer_id=200050&result=OK:result=OK","10:00～12:00","200:customer_id=200050&result=OK:result=OK","1","","","","",""
"900067","S000DBBE3","2026-06-03 20:58:42","2026-06-03 20:58:46","4","03-0000-0000","080-3117-4509","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900043","S000DBBCB","2026-06-03 21:21:26","2026-06-03 21:21:49","23","03-0000-0000","0800-000-201","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","新規","","","","","","","","","","","",""
"900046","S000DBBCE","2026-06-03 23:29:19","2026-06-03 23:29:36","17","03-0000-0000","090-3067-9681","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","","","","","","","","","","","","",""
"900052","S000DBBD4","2026-06-03 23:41:47","2026-06-03 23:42:43","56","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200052&result=OK:result=OK","08070165372","200:customer_id=200052&result=OK:result=OK","時間指定無し","200:customer_id=200052&result=OK:result=OK","1","","","","",""
"900066","S000DBBE2","2026-06-03 23:42:46","2026-06-03 23:44:22","96","03-0000-0000","0120-000-102","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200066&result=OK:result=OK","08056601757","200:customer_id=200066&result=OK:result=OK","時間指定無し","200:customer_id=200066&result=OK:result=OK","1","","","","",""
"900044","S000DBBCC","2026-06-03 23:50:18","2026-06-03 23:50:33","15","03-0000-0000","0120-000-102","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","","","","","","","","","","","","",""
"900060","S000DBBDC","2026-06-04 00:48:50","2026-06-04 00:50:31","101","03-0000-0000","0800-000-201","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200060&result=OK:result=OK","08034224026","200:customer_id=200060&result=OK:result=OK","10:00～12:00","200:customer_id=200060&result=OK:result=OK","1","","","","",""
"900047","S000DBBCF","2026-06-04 01:50:10","2026-06-04 01:50:36","26","03-0000-0000","0120-000-102","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","既存","","","","","","","","","","","",""
"900056","S000DBBD8","2026-06-04 05:16:31","2026-06-04 05:16:51","20","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","","","","","","","","","","","","1"
"900045","S000DBBCD","2026-06-04 05:52:02","2026-06-04 05:53:06","64","03-0000-0000","0120-000-103","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200045&result=OK:result=OK","07029648256","200:customer_id=200045&result=OK:result=OK","10:00～12:00","200:customer_id=200045&result=OK:result=OK","1","","","","",""
"900058","S000DBBDA","2026-06-04 05:53:22","2026-06-04 05:53:26","4","03-0000-0000","0120-000-103","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900055","S000DBBD7","2026-06-04 06:15:36","2026-06-04 06:15:59","23","03-0000-0000","090-1198-5928","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","新規","","","","","","","","","","","",""
"900054","S000DBBD6","2026-06-04 06:29:23","2026-06-04 06:30:41","78","03-0000-0000","070-1145-8823","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200054&result=OK:result=OK","07037543794","200:customer_id=200054&result=OK:result=OK","15:00～18:00","200:customer_id=200054&result=OK:result=OK","1","","","","",""
"900062","S000DBBDE","2026-06-04 07:28:03","2026-06-04 07:28:18","15","03-0000-0000","0120-000-102","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","新規","","","","","","","","","","","",""
"900051","S000DBBD3","2026-06-04 07:41:32","2026-06-04 07:42:30","58","03-0000-0000","070-5214-3860","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200051&result=OK:result=OK","07063307896","200:customer_id=200051&result=OK:result=OK","時間指定無し","200:customer_id=200051&result=OK:result=OK","1","","","","",""
"900057","S000DBBD9","2026-06-04 07:44:13","2026-06-04 07:45:48","95","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200057&result=OK:result=OK","07053409266","200:customer_id=200057&result=OK:result=OK","10:00～12:00","200:customer_id=200057&result=OK:result=OK","1","","","","",""
"900064","S000DBBE0","2026-06-04 08:09:19","2026-06-04 08:10:59","100","03-0000-0000","090-1242-9264","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200064&result=OK:result=OK","08016054669","200:customer_id=200064&result=OK:result=OK","15:00～18:00","200:customer_id=200064&result=OK:result=OK","1","","","","",""
"900059","S000DBBDB","2026-06-04 08:18:28","2026-06-04 08:20:06","98","03-0000-0000","080-2410-8553","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200059&result=OK:result=OK","07031397893","200:customer_id=200059&result=OK:result=OK","15:00～18:00","200:customer_id=200059&result=OK:result=OK","1","","","","",""
"900075","S000DBBEB","2026-06-04 20:19:04","2026-06-04 20:20:42","98","03-0000-0000","080-2501-4543","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200075&result=OK:result=OK","09068339519","200:customer_id=200075&result=OK:result=OK","時間指定無し","200:customer_id=200075&result=OK:result=OK","1","","","","",""
"900083","S000DBBF3","2026-06-04 20:47:28","2026-06-04 20:48:37","69","03-0000-0000","080-5285-5802","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200083&result=OK:result=OK","08060565680","200:customer_id=200083&result=OK:result=OK","12:00～15:00","200:customer_id=200083&result=OK:result=OK","1","","","","",""
"900084","S000DBBF4","2026-06-04 21:30:29","2026-06-04 21:31:55","86","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200084&result=OK:result=OK","08047276064","200:customer_id=200084&result=OK:result=OK","10:00～12:00","200:customer_id=200084&result=OK:result=OK","1","","","","",""
"900070","S000DBBE6","2026-06-04 22:23:03","2026-06-04 22:23:10","7","03-0000-0000","0800-000-201","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900081","S000DBBF1","2026-06-04 22:35:11","2026-06-04 22:35:34","23","03-0000-0000","090-2101-9520","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","新規","","","","","","","","","","","",""
"900078","S000DBBEE","2026-06-04 23:01:10","2026-06-04 23:01:43","33","03-0000-0000","0800-000-201","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","","","","","","","","","","","","1"
"900077","S000DBBED","2026-06-05 00:29:37","2026-06-05 00:31:21","104","03-0000-0000","070-9122-4489","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200077&result=OK:result=OK","09087116363","200:customer_id=200077&result=OK:result=OK","15:00～18:00","200:customer_id=200077&result=OK:result=OK","1","","","","",""
"900074","S000DBBEA","2026-06-05 00:41:47","2026-06-05 00:42:10","23","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","","","","","","","","","","","","1"
"900072","S000DBBE8","2026-06-05 00:58:39","2026-06-05 00:59:08","29","03-0000-0000","090-1201-8377","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","既存","","","","","","","","","","","",""
"900080","S000DBBF0","2026-06-05 05:19:01","2026-06-05 05:19:05","4","03-0000-0000","0800-000-201","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900071","S000DBBE7","2026-06-05 06:48:18","2026-06-05 06:48:39","21","03-0000-0000","0120-000-103","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","","","","","","","","","","","","1"
"900079","S000DBBEF","2026-06-05 07:15:59","2026-06-05 07:15:59","0","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900076","S000DBBEC","2026-06-05 07:30:11","2026-06-05 07:30:11","0","03-0000-0000","070-8090-6210","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900082","S000DBBF2","2026-06-05 08:11:01","2026-06-05 08:11:36","35","03-0000-0000","0120-000-103","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","新規","""1-2-1""折り返し予約受付","","","","","","","","","","",""
"900069","S000DBBE5","2026-06-05 08:19:13","2026-06-05 08:20:33","80","03-0000-0000","090-9406-1812","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200069&result=OK:result=OK","09045167923","200:customer_id=200069&result=OK:result=OK","10:00～12:00","200:customer_id=200069&result=OK:result=OK","1","","","","",""
"900073","S000DBBE9","2026-06-05 08:37:50","2026-06-05 08:37:59","9","03-0000-0000","080-6052-4024","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","","","","","","","","","","","","",""
"900094","S000DBBFE","2026-06-05 19:37:11","2026-06-05 19:38:11","60","03-0000-0000","070-8771-4940","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200094&result=OK:result=OK","08024349552","200:customer_id=200094&result=OK:result=OK","15:00～18:00","200:customer_id=200094&result=OK:result=OK","1","","","","",""
"900096","S000DBC00","2026-06-05 20:57:01","2026-06-05 20:57:37","36","03-0000-0000","0800-000-201","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","","","","","","","","","","","","1"
